strategy_id,strategy
1001,AGRC: All transformations
1002,AGRC: All transformations with partial land use reallocation
1003,AGRC: Decrease Exports
1004,AGRC: Expand conservation agriculture
1005,AGRC: Improve crop productivity
1006,AGRC: Improve crop productivity with partial land use reallocation
1007,AGRC: Improve rice management
1008,AGRC: Reduce supply chain losses
1009,AGRC: Reduce supply chain losses with partial land use reallocation
1010,FRST: Stop deforestation
1011,LNDU: Expand silvopasture
1012,LNDU: Expand silvopasture with partial land use reallocation
1013,LNDU: Expand sustainable grazing practices
1014,LNDU: Partial land use reallocation
1015,LNDU: Rehabilitate degraded land
1016,LSMM: Improve manure management for cattle and pigs
1017,LSMM: Improve manure management for other animals
1018,LSMM: Improve manure management for poultry
1019,LSMM: Increase biogas capture at anaerobic decomposition facilities
1020,LSMM: Manure management bundle
1021,LVST: All transformations
1022,LVST: All transformations with partial land use reallocation
1023,LVST: Decrease exports
1024,LVST: Increase livestock productivity
1025,LVST: Increase livestock productivity with partial land use reallocation
1026,LVST: Reduce enteric fermentation
1027,SOIL: Improve fertilizer application
1028,SOIL: Improve lime application
1029,AF: All AFOLU transformations
1030,AF: All AFOLU transformations with partial land use reallocation
2001,TRWW: All wastewater treatment transformations
2002,TRWW: Increase biogas capture
2003,TRWW: Increase septic compliance
2004,WALI: All transformations
2005,WALI: Improved industrial wastewater treatment
2006,WALI: Improved rural wastewater treatment
2007,WALI: Improved urban wastewater treatment
2008,WASO: All solid waste
2009,WASO: Biogas for energy production
2010,WASO: Consumer food waste reduction
2011,WASO: Incineration for energy production
2012,WASO: Increase biogas capture
2013,WASO: Increase composting and biogas
2014,WASO: Increase landfilling
2015,WASO: Increase recycling
2016,CE: All Circular Economy transformations
3001,CCSQ: Increase direct air capture
3002,CCSQ: Increase direct air capture with renewable energy production
3003,ENTC: 95% of electricity is generated by renewables in 2050
3004,ENTC: Least cost solution
3005,ENTC: Reduce transmission losses
3006,ENTC: Reduce transmission losses with renewable energy production
3007,FGTV: All Fugitive Emissions transformations
3008,FGTV: All Fugitive Emissions transformations with renewable energy production
3009,FGTV: Maximize flaring
3010,FGTV: Maximize flaring with renewable energy production
3011,FGTV: Minimize leaks
3012,FGTV: Minimize leaks with renewable energy production
3013,INEN: All Industrial Energy transformations
3014,INEN: All Industrial Energy transformations with renewable energy production
3015,INEN: Fuel switch low-temp thermal processes to industrial heat pumps
3016,INEN: Fuel switch low-temp thermal processes to industrial heat pumps with renewable energy production
3017,INEN: Fuel switch medium and high-temp thermal processes to hydrogen and electricity
3018,INEN: Fuel switch medium and high-temp thermal processes to hydrogen and electricity with renewable energy production
3019,INEN: Maximize industrial energy efficiency
3020,INEN: Maximize industrial energy efficiency with renewable energy production
3021,INEN: Maximize industrial production efficiency
3022,INEN: Maximize industrial production efficiency with renewable energy production
3023,SCOE: All Stationary Combustion and Other Energy transformations
3024,SCOE: All Stationary Combustion and Other Energy transformations with renewable energy production
3025,SCOE: Increase appliance efficiency
3026,SCOE: Increase appliance efficiency with renewable energy production
3027,SCOE: Reduce end-use demand for heat energy by improving building shell
3028,SCOE: Reduce end-use demand for heat energy by improving building shell with renewable energy production
3029,"SCOE: Switch to electricity for heat using heat pumps, electric stoves, etc."
3030,"SCOE: Switch to electricity for heat using heat pumps, electric stoves, etc. with renewable energy production"
3031,TRNS: All Transportation transformations
3032,TRNS: All Transportation transformations with renewable energy production
3033,TRNS: Demand management bundle
3034,TRNS: Demand management bundle with renewable energy production
3035,TRNS: Electrify light duty road transport
3036,TRNS: Electrify light duty road transport with renewable energy production
3037,TRNS: Electrify rail
3038,TRNS: Electrify rail with renewable energy production
3039,TRNS: Fuel switch bundle
3040,TRNS: Fuel switch bundle with renewable energy production
3041,TRNS: Fuel switch maritime
3042,TRNS: Fuel switch maritime with renewable energy production
3043,TRNS: Fuel switch medium duty road transport
3044,TRNS: Fuel switch medium duty road transport with renewable energy production
3045,TRNS: Increase occupancy for private vehicles
3046,TRNS: Increase occupancy for private vehicles with renewable energy production
3047,TRNS: Increase transportation energy efficiency
3048,TRNS: Increase transportation energy efficiency with renewable energy production
3049,TRNS: Mode shift bundle
3050,TRNS: Mode shift bundle with renewable energy production
3051,TRNS: Mode shift freight
3052,TRNS: Mode shift freight with renewable energy production
3053,TRNS: Mode shift passenger vehicles to others
3054,TRNS: Mode shift passenger vehicles to others with renewable energy production
3055,TRNS: Mode shift regional passenger travel
3056,TRNS: Mode shift regional passenger travel with renewable energy production
3057,TRDE: Reduce demand for transport
3058,TRDE: Reduce demand for transport with renewable energy production
3059,EN: Efficiency bundle
3060,EN: Efficiency bundle with renewable energy production
3061,EN: Fuel switch bundle
3062,EN: Fuel switch bundle with renewable energy production
3063,EN: All Energy transformations
4001,IPPU: Demand management
4002,IPPU: Reduce cement clinker
4003,IPPU: Reduce fluorinated gasses bundle
4004,IPPU: Reduce Nitrous Oxide emissions
4005,IPPU: Reduce other fluorinated compounds
4006,IPPU: Reduce use of HFCs
4007,IPPU: Reduce use of PFCs
4008,IP: All IP transformations
5001,PFLO: Better baseline
5002,PFLO: Healthier diets
5003,PFLO: Healthier diets with partial land use reallocation
5004,PFLO: Change consumer behavior
5005,PFLO: Industrial point of capture CCSQ
5006,PFLO: Supply side technologies and transformations
5007,PFLO: All transformations
5008,PFLO: All transformations with partial land use reallocation
